created_at,full_text,text_weight,text_weight_label,class_sentiment
Thu Feb 15 14:51:22 +0000 2024,anies misi bangun demokrasi indonesia junjung etika adab demokrasi ruang hormat gagas ide dialog berita lengkap baca,0,0,netral
Thu Feb 15 13:00:02 +0000 2024,investasi nih hary tanoe,0,0,netral
Thu Feb 15 13:00:01 +0000 2024,kpu tps potensi laku pungut suara susul,5,1,positif
Thu Feb 15 13:05:00 +0000 2024,anies konsisten gerak ubah ganjar hasil quick count lt,8,1,positif
Thu Feb 15 13:09:43 +0000 2024,respons ganjar hasil quick count suara pdip,13,1,positif
Thu Feb 15 09:00:02 +0000 2024,faktor nih prabowogibran menang share kolom komentar ya,4,1,positif
Thu Feb 15 05:24:41 +0000 2024,cek fakta klik link cek fakta informasi saji yuk,-4,-1,negatif
Thu Feb 15 10:09:37 +0000 2024,anjay mantan bupati pati periode suara jura jateng iiiya adik beliau bu tatik cuan nya unlimited yg wilayah raci juwana paham ya anak lamborgini,0,0,netral
Thu Feb 15 23:44:00 +0000 2024,sepakat kritik jokowi poin kalah ganjar iris pilih ganjarpdip jokowi cenderung share kolom komentar ya,-2,-1,negatif
Thu Feb 15 12:54:00 +0000 2024,bikin khawatir milu nyata bawa berkah pariwisata ekonomi kreatif indonesia,14,1,positif
Thu Feb 15 05:29:57 +0000 2024,cek fakta klik link cek fakta informasi saji yuk,-4,-1,negatif
Thu Feb 15 05:23:17 +0000 2024,klik link cek fakta informasi saji yuk,3,1,positif
Thu Feb 15 08:45:39 +0000 2024,prabowogibran menang versi quick count gempita gelar acara syukur,15,1,positif
Thu Feb 15 23:15:12 +0000 2024,putar kaget dinamik politik kampanye salah asas milu adil instansi perintah aparat kades jabat menciderai demokrasi,-4,-1,negatif
Thu Feb 15 11:57:57 +0000 2024,,0,0,netral
Thu Feb 15 16:09:04 +0000 2024,buzzer prabowo laku laku hadap ganjar pranowo pilpres stelah hasil kubur mimpi anakanak timnas indonesia u tampil piala dunia hasil kubur mimpi presiden,20,1,positif
