created_at,username,full_text,indoBert Classification,indoBERT Classification score
Wed Mar 13 05:08:08 +0000 2024,RElnanda10837,prabowogibran memimpin dengan perolehan suara yang mengesankan menandakan dukungan yang kuat dari rakyat inihasil dipilihrakyat,positif,0.9792768359184265
Wed Mar 13 05:07:49 +0000 2024,tiaraacantikka,prabowogibran semakin kuat di puncak perolehan suara inihasil dipilihrakyat,positif,0.7890186309814453
Wed Mar 13 05:07:48 +0000 2024,zasiarenia,prabowogibran unggul dengan perolehan suara yang menggemparkan inihasil dipilihrakyat,positif,0.8953356146812439
Wed Mar 13 05:07:27 +0000 2024,Arunamatatas,prabowogibran terus menunjukkan keunggulan dalam perolehan suara inihasil dipilihrakyat,positif,0.5118502378463745
Wed Mar 13 05:07:19 +0000 2024,GitaCarmen35,suara rakyat memberikan kepercayaan pada prabowogibran dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9548386335372925
Wed Mar 13 05:07:06 +0000 2024,HarixeSihombing,perolehan suara yang mengesankan bagi prabowogibran adalah cerminan dari aspirasi dan harapan masyarakat inihasil dipilihrakyat,positif,0.8858352899551392
Wed Mar 13 05:06:35 +0000 2024,MSchilvi_,popularitas prabowogibran terbukti dengan melibas lawanlawannya dalam perolehan suara terbaru inihasil dipilihrakyat,positif,0.5311989784240723
Wed Mar 13 05:06:22 +0000 2024,URismi5433,popularitas prabowogibran semakin meningkat dengan perolehan suara yang fantastis inihasil dipilihrakyat,positif,0.9512342810630798
Wed Mar 13 05:06:05 +0000 2024,RinaxcPrasetya,perolehan suara prabowogibran mencerminkan kepercayaan yang tinggi dari rakyat inihasil dipilihrakyat,positif,0.8355017304420471
Wed Mar 13 05:06:00 +0000 2024,JBuharjery,kepercayaan masyarakat pada prabowogibran terlihat dari perolehan suara yang tinggi inihasil dipilihrakyat,positif,0.9409019947052002
Wed Mar 13 05:05:49 +0000 2024,GaduhujOktavian,kabar baik datang untuk prabowogibran dengan perolehan suara yang semakin menguntungkan inihasil dipilihrakyat,positif,0.9719008207321167
Wed Mar 13 05:05:44 +0000 2024,salwa1835047807,prabowogibran memimpin dengan perolehan suara yang menakjubkan inihasil dipilihrakyat,positif,0.9760248064994812
Wed Mar 13 05:05:30 +0000 2024,MutiaiuPradana,perolehan suara yang gemilang bagi prabowogibran menunjukkan bahwa masyarakat telah memilih dengan penuh keyakinan inihasil dipilihrakyat,positif,0.9482821226119995
Wed Mar 13 05:05:14 +0000 2024,BaharBhagi1,prestasi prabowogibran dalam perolehan suara tidak bisa dipandang sebelah mata inihasil dipilihrakyat,positif,0.8266686797142029
Wed Mar 13 05:05:13 +0000 2024,ppstrengguli,berikut ini adalah rekapitulasi dan penetapan hasil perolehan suara pemilu untuk pemilihan dpd ri tingkat provinsi jawa tengah,netral,0.9970288872718811
Wed Mar 13 05:05:12 +0000 2024,CandrakantaixAr,perolehan suara yang mencerminkan kepercayaan yang besar bagi prabowogibran adalah dorongan kuat untuk mewujudkan perubahan yang diinginkan oleh masyarakat inihasil dipilihrakyat,positif,0.9234313368797302
Wed Mar 13 05:03:50 +0000 2024,nanda_nauv26,dukungan besar dari masyarakat terlihat dari perolehan suara prabowogibran inihasil dipilihrakyat,netral,0.605877697467804
Wed Mar 13 05:03:37 +0000 2024,axelrama356,keberhasilan prabowogibran tercermin dalam perolehan suara yang mencerminkan dukungan yang kuat dari rakyat inihasil dipilihrakyat,positif,0.9124664664268494
Wed Mar 13 05:03:19 +0000 2024,AdeumHardiansya,aspirasi dan harapan masyarakat tercermin dalam perolehan suara prabowogibran inihasil dipilihrakyat,netral,0.9469566345214844
Wed Mar 13 05:03:18 +0000 2024,ppstrengguli,berikut ini adalah rekapitulasi dan penetapan hasil perolehan suara pemilu untuk pemilihan presiden dan wakil presiden tingkat provinsi jawa tengah,netral,0.996605396270752
Wed Mar 13 05:03:12 +0000 2024,sabrinareva61,kemenangan prabowogibran tercermin dalam perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.8087133169174194
Wed Mar 13 05:02:49 +0000 2024,HarsanahrMardhi,perolehan suara mencerminkan kepercayaan masyarakat pada prabowogibran inihasil dipilihrakyat,positif,0.5887047052383423
Wed Mar 13 05:02:28 +0000 2024,parbiansyahh,prabowogibran memimpin dengan perolehan suara inihasil dipilihrakyat,netral,0.9361183643341064
Wed Mar 13 05:02:26 +0000 2024,OmmaRidho15785,prabowogibran memimpin dengan perolehan suara yang menggemparkan inihasil dipilihrakyat,positif,0.6360219717025757
Wed Mar 13 05:01:25 +0000 2024,DennisMata89678,prabowogibran mendapat kepercayaan rakyat dengan perolehan suara yang fantastis inihasil dipilihrakyat,positif,0.9670923352241516
Wed Mar 13 05:01:19 +0000 2024,BCakraweda66869,suara rakyat memberikan kepercayaan pada prabowogibran dengan perolehan suara yang mengesankan inihasil dipilihrakyat,positif,0.9548386335372925
Wed Mar 13 05:01:18 +0000 2024,rosalina1090076,prabowogibran memimpin dengan perolehan suara yang mengesankan menandakan dukungan yang kuat dari rakyat inihasil dipilihrakyat,positif,0.9792768359184265
Wed Mar 13 05:01:03 +0000 2024,andhikakurrr,perolehan suara prabowogibran masih stabil menurut kpu inihasil dipilihrakyat,netral,0.9822196960449219
Wed Mar 13 05:00:55 +0000 2024,sisilsila5363,prabowogibran mendapat kepercayaan penuh dari rakyat dengan perolehan suara yang fantastis inihasil dipilihrakyat,positif,0.9786257743835449
Wed Mar 13 05:00:16 +0000 2024,RmolAceh,pleno kip selesai berikut perolehan suara caleg dpd dapil aceh,netral,0.9980562925338745
Wed Mar 13 05:00:11 +0000 2024,SightS86205,suara rakyat memberikan kepercayaan kepada prabowogibran dengan perolehan suara yang fantastis inihasil dipilihrakyat,positif,0.9626667499542236
Wed Mar 13 05:00:01 +0000 2024,temponewsroom,berbagai kecurangan pemilu memenuhi aspek hak angket lonjakan perolehan suara psi menjadi sorotan,netral,0.9907664060592651
Wed Mar 13 04:59:49 +0000 2024,ariskarahmaw1,prabowogibran unggul dalam perolehan suara menurut survei terbaru inihasil dipilihrakyat,netral,0.9373406171798706
Wed Mar 13 04:59:41 +0000 2024,PanjiczSusanti,masyarakat percaya pada prabowogibran perolehan suara mencerminkan kepercayaan itu inihasil dipilihrakyat,netral,0.5901947617530823
Wed Mar 13 04:59:33 +0000 2024,GerrySalut27615,aspirasi dan harapan masyarakat tercermin dalam perolehan suara prabowogibran inihasil dipilihrakyat,netral,0.9469566345214844
Wed Mar 13 04:59:24 +0000 2024,anasputrii1,prabowogibran unggul dengan perolehan suara yang stabil inihasil dipilihrakyat,positif,0.8130152821540833
Wed Mar 13 04:58:57 +0000 2024,bandiabask57045,kemenangan gemilang prabowogibran dengan perolehan suara tinggi inihasil dipilihrakyat,positif,0.7185647487640381
Wed Mar 13 04:58:56 +0000 2024,AgimbauTob76423,dukungan besar untuk prabowogibran terlihat dari perolehan suara yang memukau inihasil dipilihrakyat,positif,0.9531031847000122
Wed Mar 13 04:58:41 +0000 2024,galangbalang,prabowogibran memimpin dengan perolehan suara inihasil dipilihrakyat,netral,0.9361183643341064
