created_at,username,full_text,indoBert Classification,indoBERT Classification score
Thu Feb 15 14:45:30 +0000 2024,AchmadAnnama,caleg sistem paylater dp hehehehe,netral,0.6892503499984741
Thu Feb 15 14:51:22 +0000 2024,republikaonline,anies misi bangun demokrasi indonesia junjung etika adab demokrasi ruang hormat gagas ide dialog berita lengkap baca,netral,0.8768376111984253
Thu Feb 15 12:00:02 +0000 2024,medcom_id,link cek real count milu resmi kpu,netral,0.9978213310241699
Thu Feb 15 13:00:02 +0000 2024,pinterpolitik,investasi nih hary tanoe,netral,0.8645585775375366
Thu Feb 15 13:00:01 +0000 2024,medcom_id,kpu tps potensi laku pungut suara susul,netral,0.9975457787513733
Thu Feb 15 13:05:00 +0000 2024,kompascom,anies konsisten gerak ubah ganjar hasil quick count lt,netral,0.9973142743110657
Thu Feb 15 13:09:43 +0000 2024,officialntv_,respons ganjar hasil quick count suara pdip,netral,0.9956262111663818
Thu Feb 15 09:00:02 +0000 2024,pinterpolitik,faktor nih prabowogibran menang share kolom komentar ya,netral,0.9762356281280518
Thu Feb 15 05:24:41 +0000 2024,cekfaktacom,cek fakta klik link cek fakta informasi saji yuk,netral,0.9801791906356812
Thu Feb 15 10:09:37 +0000 2024,ellandaroma,anjay mantan bupati pati periode suara jura jateng iiiya adik beliau bu tatik cuan nya unlimited wilayah raci juwana paham ya anak lamborgini,positif,0.7530925869941711
Thu Feb 15 23:44:00 +0000 2024,pinterpolitik,sepakat kritik jokowi poin kalah ganjar iris pilih ganjarpdip jokowi cenderung share kolom komentar ya,netral,0.8588445782661438
Thu Feb 15 12:54:00 +0000 2024,officialntv_,bikin khawatir milu nyata bawa berkah pariwisata ekonomi kreatif indonesia,positif,0.9828976988792419
Thu Feb 15 05:29:57 +0000 2024,cekfaktacom,cek fakta klik link cek fakta informasi saji yuk,netral,0.9801791906356812
Thu Feb 15 05:23:17 +0000 2024,cekfaktacom,klik link cek fakta informasi saji yuk,netral,0.9846923351287842
Thu Feb 15 08:45:39 +0000 2024,jpnncom,prabowogibran menang versi quick count gempita gelar acara syukur,netral,0.9965338706970215
Thu Feb 15 23:15:12 +0000 2024,yudanteee,putar kaget dinamik politik kampanye salah asas milu adil instansi perintah aparat kades jabat menciderai demokrasi,negatif,0.6313130855560303
Thu Feb 15 16:09:04 +0000 2024,Titipan_Mafia,buzzer prabowo laku laku hadap ganjar pranowo pilpres hasil kubur mimpi anakanak timnas indonesia u tampil piala dunia hasil kubur mimpi presiden,positif,0.5244765877723694
Thu Feb 15 12:51:35 +0000 2024,PR_Kuningan,puluh timses caleg daftar konsultasi ganggu mental stres rumah sakit,netral,0.9955215454101562
Thu Feb 15 13:44:23 +0000 2024,PR_Kuningan,innalillahi tugas kpps tinggal dunia alami celaka logistik milu,netral,0.9965386390686035
Thu Feb 15 10:38:27 +0000 2024,choymarkochoy,salam juang putar,positif,0.5066561102867126
Thu Feb 15 16:14:08 +0000 2024,choymarkochoy,gelombang,netral,0.685969352722168
Thu Feb 15 18:09:14 +0000 2024,ancukkkkk,arep sopo wae presidene urip panggah ngono kui wae roda hidup nek puter dewe mlaku jur bab pilpres iso gae pecah masalahe opo bar pilpres dadi dewan menteri sing macul panggah macul ra dadi camat,negatif,0.9758031368255615
Thu Feb 15 14:58:27 +0000 2024,choymarkochoy,lelucon demokrasi ala wakanda,netral,0.9461614489555359
Thu Feb 15 12:05:39 +0000 2024,choymarkochoy,nilai proses langgan muncul nama paslon langgan etika tabrak uu kpu selamat demokrasi diskualifikasi,negatif,0.9933795928955078
Thu Feb 15 16:26:14 +0000 2024,kumparan,bivitri ajak anak muda perempuan takut suara,netral,0.9921067953109741
Thu Feb 15 16:11:07 +0000 2024,kumparan,kpu salah konversi form c sirekap tps,netral,0.9898588061332703
Thu Feb 15 14:11:08 +0000 2024,kumparan,sudirman said quick count manipulasi sistem,netral,0.9638786315917969
Thu Feb 15 09:55:37 +0000 2024,Radjahoki_pro,giring opini presiden quick count duh,negatif,0.9944491386413574
Thu Feb 15 13:04:09 +0000 2024,kumparan,tim hukum amin bukti curang klaim menang,negatif,0.8714975714683533
Thu Feb 15 05:17:00 +0000 2024,berita_diy,daftar partai politik lolos dpr versi quick count pdip psi lolos,netral,0.9967958331108093
Thu Feb 15 10:37:44 +0000 2024,Radjahoki_pro,oo barusan belanja material akrab milik slese muat truk total juta bulat gitu iya versi quick count kalo versi real count tuh kasir pukimak,negatif,0.8636121153831482
Thu Feb 15 11:29:17 +0000 2024,bung_vido,menang kalah muak rakyat sungguh benci dengki fitnah tebar,negatif,0.9974573254585266
Thu Feb 15 08:04:50 +0000 2024,RidNgemil,jokowi gibran kader pdip status hmmm lucu nih,positif,0.57875657081604
Thu Feb 15 08:47:00 +0000 2024,detikcom,data quick count charta politika rampung daerah peta suara sebar capres provinsi jago menang wilayah,netral,0.9917168021202087
Thu Feb 15 11:30:22 +0000 2024,rmol_id,pks harap kalah pilpres oposisi,netral,0.9948411583900452
Thu Feb 15 05:53:00 +0000 2024,detikcom,real count kpu jabar anies prabowo ganjar kpu laku hitung suara jabar prabowo unggul lengkap gtgt,netral,0.9961656332015991
Thu Feb 15 12:27:49 +0000 2024,rmol_id,jokowi sila lapor curang milu pdip rakyat awas,negatif,0.6647819876670837
Wed Feb 14 17:04:40 +0000 2024,KPUKotaProb,komisioner kpu kota probolinggo divisi sosdiklih parmas sdm radfan faisal laku monitoring tps lokasi khusus pondok riyadlus sholihin lurah ketapang camat kademangan rabu ri,netral,0.9972223043441772
Wed Feb 14 19:16:18 +0000 2024,kpukotajogja,kpu kota yogyakarta laksana musnah surat suara milu selasa halaman gudang kpu kota yogyakarta jl pramuka prenggan kotagede giat undang bawaslu kota yogyakarta polresta yogyakarta,netral,0.9960179924964905
Wed Feb 14 10:30:25 +0000 2024,OposisiCerdas,website kpu down milu pakar aman siber,netral,0.6725021600723267
Wed Feb 14 16:01:16 +0000 2024,KPUKotaTarakan,halo anggota kpu kota tarak herry fitri armandita spd istri nurhalima hak pilih tps lurah selumit kec tarak jam wita rabu februari,netral,0.9977558255195618
Wed Feb 14 12:16:41 +0000 2024,FuzaFirdaus,hitung resmi kpu pilpres kabupaten sambas prabowogibran aniesmuhaimin ganjarmahfud suara masuk,netral,0.9981868863105774
Wed Feb 14 14:19:24 +0000 2024,kpukebumen,kpu kabupaten kebumen laksana musnah surat suara milu selasa,netral,0.9975597858428955
Wed Feb 14 13:25:58 +0000 2024,RTMCPoldaKalsel,kapolda kalsel irjen pol winarto sh mh pju polda kalsel laksana pantau milu wilayah prov kalsel forkopimda kpu bawaslu instansi kait lainnnya,netral,0.9968982934951782
Wed Feb 14 23:30:00 +0000 2024,democrazymedia,reaksi kpu ri surat suara coblos malaysia pungut suara ulang,netral,0.997703492641449
Wed Feb 14 17:11:12 +0000 2024,liputan6dotcom,hasil resmi milu kpu lambat pungut suara,netral,0.9977118968963623
Wed Feb 14 12:52:07 +0000 2024,dw_indonesia,lembaga survei hitung cepat pilpres paslon nomor urut posisi tanggap ganjar masyarakat tunggu hasil resmi kpu,netral,0.9946812987327576
Wed Feb 14 11:54:23 +0000 2024,OposisiCerdas,breaking news nama prabowogibran ubah bernoulli amp bohr aplikasi sirekap kpu ri,netral,0.9979124665260315
Wed Feb 14 18:39:32 +0000 2024,maximilan_angel,kenal milu hasil quick count beda hasil kpu ketua mpr ri bambang soesatyo bamsoet selamat menang prabowogibran pilpres dasar hasil quick count,netral,0.9297923445701599
Wed Feb 14 16:43:24 +0000 2024,OposisiCerdas,sikap gentleman anies baswedan hormat putus kpu demokrat sejati,netral,0.7768034934997559
Wed Feb 14 14:30:00 +0000 2024,Sumbarkita_id,link cek hasil real count resmi kpu pilpres simak hasil,netral,0.9974138140678406
Wed Feb 14 13:09:35 +0000 2024,Bisniscom,hasil real count pilpres kpu provinsi prabowo unggul,netral,0.9921818971633911
Wed Feb 14 23:15:43 +0000 2024,OposisiCerdas,nik janggal kaltim kpu salah input,negatif,0.9899379014968872
Wed Feb 14 15:05:00 +0000 2024,democrazymedia,viral edar foto kpps serang banten pakai kemeja warna khas prabowogibran kpu ganti kostum,netral,0.9962670207023621
