created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 07 23:55:32 +0000 2024;1744145777877037180;"jiahahaha prabowo dicebokin bot  #DebatCapres";0;0;0;1;in;1431142289884135428;1744145777877037180;hochidubu;https://twitter.com/hochidubu/status/1744145777877037180
Sun Jan 07 23:54:50 +0000 2024;1744145600130711777;"Biar masyarakat yg menilai ya pak. #02KubuArogan #DebatCapres #DebatPilpres https://t.co/KxRJTebDIp";0;0;0;2;in;1723961822829809664;1744145600130711777;archie99634;https://twitter.com/archie99634/status/1744145600130711777
Sun Jan 07 23:54:32 +0000 2024;1744145523194638522;"@erlanishere @Gerindra Dan diungkap di #DebatCapres ditonton seluruh jagat.";0;0;0;0;in;604333557;1744004360651292983;rektrektrekt123;https://twitter.com/rektrektrekt123/status/1744145523194638522
Sun Jan 07 23:53:34 +0000 2024;1744145279849542072;"Jubir TKD Jatim: Prabowo akan Memperkuat Sistem Militer di Indonesia. 👇  Juru bicara (jubir) Tim Kampanye Daerah (TKD) Jawa Timur, Ali Affandi menyebut Prabowo mempunyai program jelas… https://t.co/opQPS6jWkb #PolitikPemerintahan #DebatCapres #JawaTimur via @beritajatimcom";0;0;0;0;in;21287066;1744145279849542072;beritajatimcom;https://twitter.com/beritajatimcom/status/1744145279849542072
Sun Jan 07 23:52:51 +0000 2024;1744145100048077090;"@RadioElshinta ANIES ROCKS DEBAT CAPRES !!  #DebatCapres #AMINAjaDulu";0;0;1;3;en;129750289;1743960193225150558;ZAEffendy;https://twitter.com/ZAEffendy/status/1744145100048077090
Sun Jan 07 23:52:16 +0000 2024;1744144953544995064;"Israel, claims humanity and is saddened by the death of civilians in Gaza,is also the one preventing the entry of aid and the entry of anything that can restore life and help the people of Gaza endure this war,and this is the rejected aid #DebatCapres #แอมมี่ #amici23 #คัลแลน https://t.co/NsEOzTW9VR";0;0;0;0;en;1725885824716177408;1744144953544995064;ShireenEsa90311;https://twitter.com/ShireenEsa90311/status/1744144953544995064
Sun Jan 07 23:52:05 +0000 2024;1744144908708180383;"Tetap semangat Jepang Barat Korea Fansite Indonesia Pasutri Gaje #GDA2024 #4niesJ4njiM4nis #nazarpemilu Minggu Malming Kebun #DebatCapres #WelcomeToSamdalriEp11 SEVENTEEN Pi Cheolin #ONEPIECE1089 Pentagon Jake #gibranlanjutkanjkw facial wash";0;0;0;1;in;825931798764871680;1744144908708180383;AminudinRashya;https://twitter.com/AminudinRashya/status/1744144908708180383
Sun Jan 07 23:51:07 +0000 2024;1744144663672705516;"Yang mendesak El Gemoy itu baru satu orang saja &amp  beliau sudah males salaman, males foto bareng, males ditanya2 wartawan.  Klo El Gemoy jd presiden beneran &amp  ditagih rakyat beneran kira2 mau mendengar gak ya? Apa malah semakin menutup diri &amp  makin gak mau ditagih?  #DebatCapres";0;0;1;3;in;310396237;1744144663672705516;ceasarru;https://twitter.com/ceasarru/status/1744144663672705516
Sun Jan 07 23:50:39 +0000 2024;1744144549818376319;"Itu pendukung pak anies apa ga ada yang hilang respect gara gara sering nyenggol mulu? Kebanyakan nyerang personal anjir.   #debatcapres";0;0;0;0;in;1405081635150647304;1744144549818376319;radenimanuel1;https://twitter.com/radenimanuel1/status/1744144549818376319
Sun Jan 07 23:50:06 +0000 2024;1744144410089234563;"Ada yang pernah ngerasain seperti ini? 😭  - A Thread - Meme #debatcapres2024 Paslon 1 Blunder Wowo #DebatCapres https://t.co/2smQpAqAkT";0;1;0;0;in;1165025028;1744144410089234563;maul_af;https://twitter.com/maul_af/status/1744144410089234563
Sun Jan 07 23:50:04 +0000 2024;1744144401922932924;"#debatcapres2024  #DebatCapres  "Paslon 1" https://t.co/ccwWIbREpk";0;1;0;1;en;1477081368387485696;1744144401922932924;AkbarAmirulla13;https://twitter.com/AkbarAmirulla13/status/1744144401922932924
