full_text,text_weight,text_weight_label,class_sentiment
caleg sistem paylater dp hehehehe,-4,0,negatif
anies misi bangun demokrasi indonesia junjung etika adab demokrasi ruang hormat gagas ide dialog berita lengkap baca,0,1,netral
investasi nih hary tanoe,0,1,netral
kpu tps potensi laku pungut suara susul,5,1,positif
anies konsisten gerak ubah ganjar hasil quick count lt,8,1,positif
respons ganjar hasil quick count suara pdip,13,1,positif
faktor nih prabowogibran menang share kolom komentar ya,4,1,positif
cek fakta klik link cek fakta informasi saji yuk,-4,0,negatif
anjay mantan bupati pati periode suara jura jateng iiiya adik beliau bu tatik cuan nya unlimited wilayah raci juwana paham ya anak lamborgini,0,1,netral
sepakat kritik jokowi poin kalah ganjar iris pilih ganjarpdip jokowi cenderung share kolom komentar ya,-2,0,negatif
bikin khawatir milu nyata bawa berkah pariwisata ekonomi kreatif indonesia,14,1,positif
cek fakta klik link cek fakta informasi saji yuk,-4,0,negatif
klik link cek fakta informasi saji yuk,3,1,positif
putar kaget dinamik politik kampanye salah asas milu adil instansi perintah aparat kades jabat menciderai demokrasi,-4,0,negatif
,0,1,netral
buzzer prabowo laku laku hadap ganjar pranowo pilpres hasil kubur mimpi anakanak timnas indonesia u tampil piala dunia hasil kubur mimpi presiden,20,1,positif
hehehe,0,1,netral
puluh timses caleg daftar konsultasi ganggu mental stres rumah sakit,-6,0,negatif
innalillahi tugas kpps tinggal dunia alami celaka logistik milu,-7,0,negatif
salam juang putar,3,1,positif
gelombang,0,1,netral
arep sopo wae presidene urip panggah ngono kui wae roda hidup nek puter dewe mlaku jur bab pilpres iso gae pecah masalahe opo bar pilpres dadi dewan menteri sing macul panggah macul ra dadi camat,-5,0,negatif
lelucon demokrasi ala wakanda,-4,0,negatif
nilai proses langgan muncul nama paslon langgan etika tabrak uu kpu selamat demokrasi diskualifikasi,13,1,positif
bivitri ajak anak muda perempuan takut suara,-1,0,negatif
kpu salah konversi form c sirekap tps,-4,0,negatif
sudirman said quick count manipulasi sistem,-4,0,negatif
giring opini presiden quick count duh,-1,0,negatif
tim hukum amin bukti curang klaim menang,-2,0,negatif
daftar partai politik lolos dpr versi quick count pdip psi lolos,-8,0,negatif
oo barusan belanja material akrab milik slese muat truk total juta bulat gitu iya versi quick count kalo versi real count tuh kasir pukimak,7,1,positif
menang kalah muak rakyat sungguh benci dengki fitnah tebar,-7,0,negatif
jokowi gibran kader pdip status hmmm lucu nih,3,1,positif
data quick count charta politika rampung daerah peta suara sebar capres provinsi jago menang wilayah,9,1,positif
pks harap kalah pilpres oposisi,-4,0,negatif
real count kpu jabar anies prabowo ganjar kpu laku hitung suara jabar prabowo unggul lengkap gtgt,18,1,positif
jokowi sila lapor curang milu pdip rakyat awas,2,1,positif
komisioner kpu kota probolinggo divisi sosdiklih parmas sdm radfan faisal laku monitoring tps lokasi khusus pondok riyadlus sholihin lurah ketapang camat kademangan rabu ri,-1,0,negatif
kpu kota yogyakarta laksana musnah surat suara milu selasa halaman gudang kpu kota yogyakarta jl pramuka prenggan kotagede giat undang bawaslu kota yogyakarta polresta yogyakarta,-4,0,negatif
website kpu down milu pakar aman siber,-4,0,negatif
halo anggota kpu kota tarak herry fitri armandita spd istri nurhalima hak pilih tps lurah selumit kec tarak jam wita rabu februari,-11,0,negatif
hitung resmi kpu pilpres kabupaten sambas prabowogibran aniesmuhaimin ganjarmahfud suara masuk,2,1,positif
kpu kabupaten kebumen laksana musnah surat suara milu selasa,-3,0,negatif
kapolda kalsel irjen pol winarto sh mh pju polda kalsel laksana pantau milu wilayah prov kalsel forkopimda kpu bawaslu instansi kait lainnnya,-3,0,negatif
reaksi kpu ri surat suara coblos malaysia pungut suara ulang,6,1,positif
hasil resmi milu kpu lambat pungut suara,8,1,positif
lembaga survei hitung cepat pilpres paslon nomor urut posisi tanggap ganjar masyarakat tunggu hasil resmi kpu,15,1,positif
breaking news nama prabowogibran ubah bernoulli amp bohr aplikasi sirekap kpu ri,-4,0,negatif
